MONTH_REPORTED,DRIVER_START_MONTH,CITY,STATE,ZIP,NUMBER_OF_TRIPS,MULTIPLE_TNPS
2024-08-01,2021-04-01,Brooklyn,NY,11234,13,false
2024-08-01,2024-06-01,Highland Park,IL,60035,104,true
2024-08-01,2022-01-01,New Lenox,IL,60451,33,false
2024-08-01,2024-03-01,Ingleside,IL,60041,3,false
2024-08-01,2022-01-01,Chicago,IL,60639,306,false
2024-08-01,2019-12-01,Warrenville,IL,60555,16,true
2024-08-01,2019-11-01,Chicago,IL,60649,376,false
2024-08-01,2024-06-01,Des Plaines,IL,60016,462,true
2024-08-01,2017-02-01,Grayslake,IL,60030,51,false
2024-08-01,2022-05-01,Schaumburg,IL,60194,15,true
2024-08-01,2017-07-01,Downers Grove,IL,60515,100,true
2024-08-01,2022-06-01,Oakbrook Terrance,IL,60181,3,false
2024-08-01,2023-03-01,Chicago,IL,60620,337,false
2024-08-01,2024-05-01,Arlington Hts,IL,60005,151,false
2024-08-01,2022-08-01,Palatine,IL,60074,143,true
2024-08-01,2024-07-01,Maywood,IL,60153,17,false
2024-08-01,2022-05-01,Palos Heights,IL,60463,69,true
2024-08-01,2024-07-01,Orlando,FL,32832,311,false
2024-08-01,2016-12-01,Chicago,IL,60608,192,false
2024-08-01,2023-11-01,Downers Grove,IL,60516,254,true
2024-08-01,2024-03-01,Chicago,IL,60641,91,false
2024-08-01,2023-06-01,Hoffman Est,IL,60169,83,true
2024-08-01,2022-09-01,Chicago,IL,60625,75,false
2024-08-01,2015-10-01,Davie,FL,33314,212,true
2024-08-01,2024-02-01,Naperville,IL,60540,152,false
2024-08-01,2023-09-01,Chicago,IL,60629,67,false
2024-08-01,2023-04-01,Naperville,IL,60564,1,false
2024-08-01,2023-09-01,,IL,,46,true
2024-08-01,2021-03-01,,CA,,107,false
2024-08-01,2024-06-01,Chicago,IL,60628,119,false
2024-08-01,2024-03-01,Woodridge,IL,60517,117,true
2024-08-01,2024-03-01,Woodridge,IL,60517,117,true
2024-08-01,2024-04-01,Elgin,IL,60120,0,false
2024-08-01,2024-04-01,Elgin,IL,60120,0,false
2024-08-01,2024-04-01,Elgin,IL,60120,0,false
2024-08-01,2024-04-01,Elgin,IL,60120,0,false
2024-08-01,2024-04-01,Elgin,IL,60120,0,false
2024-08-01,2024-04-01,Elgin,IL,60120,0,false
2024-08-01,2024-04-01,Elgin,IL,60120,0,false
2024-08-01,2024-04-01,Elgin,IL,60120,0,false
2024-08-01,2018-09-01,Berwyn,IL,60402,85,true
2024-08-01,2024-04-01,Chicago,IL,60630,51,false
2024-08-01,2024-07-01,Oak Park,IL,60302,291,false
2024-08-01,2016-10-01,Chicago,IL,60643,0,false
2024-08-01,2023-11-01,Lincolnwood,IL,60712,79,false
2024-08-01,2023-04-01,Chicago,IL,60632,182,true
2024-08-01,2023-10-01,Schaumburg,IL,60173,193,false
2024-08-01,2023-07-01,Lombard,IL,60148,94,true
2024-08-01,2024-06-01,Chicago,IL,60628,36,false
2024-08-01,2024-08-01,,WI,,94,false
2024-08-01,2024-08-01,Zion,IL,60099,16,true
2024-08-01,2015-10-01,,CA,,0,false
2024-08-01,2018-05-01,Kingsbury,IN,46345,1,false
